JOB ID,TEST STATUS,TEST END,TEST SUBMISSION ID,FAILED COMMENTS,SCRIPT NAME,SUITE NAME,CHANGED BY,ANALYSIS,ANALYSED BY,CATEGORY,TEST INFO ID,TICKET NUMBER,UPDATED TIME
370368,FAILED,5/25/2021 13:46,9365529,,sanity_isis_traffic_lag.robot_vredbull,VIRTUAL_REDBULL_PCT_PROTOCOLS_LAG_PRODUCTION,,,,,,,
370356,ABORTED,5/25/2021 13:59,9365682,This script is not supported for this Branch/Release,BGP_204_RLI43559_bgpidentifier_001.robot_142154_Default,RPD_PC_BGP,pct-admin,,,,,,
370368,FAILED,5/25/2021 13:40,9365523,Ignoring because of core pattern rule ID 2,sanity_isis_traffic_ipv6.robot_zt,VMX_ZT_PFE_L3_GATING_S2C_sanity_isis_traffic_ipv6,pct-admin,,,,,,
370347,ABORTED,5/25/2021 14:28,9365640,,isis_basic_mts1_vArdbeg,ardbeg_basic_platform_sanity,,,,,,,
370368,FAILED,5/25/2021 13:32,9365526,Ignoring because of core pattern rule ID 2,sanity_aft_cli.robot_zt,VMX_ZT_PFE_L3_GATING_S2C,pct-admin,,,,,,
370379,ABORTED,5/25/2021 14:15,9365596,,vRedbull_chassisd_test.pl_126972_Default,redbull_basic_platform_sanity,,,,,,,
370256,FAILED,5/25/2021 13:25,9365359,,phy_brackla_platform_sanity_s2c,phy_brackla_platform_sanity_s2c,,,,,,,
370367,ABORTED,5/26/2021 2:51,9365572,TEST TEAM INFRA ISSUE,oam_l2ckt.pl.riox,sw_pc_riox_oam,pct-admin,,,,,,
370367,ABORTED,5/26/2021 2:51,9365572,TEST TEAM INFRA ISSUE,oam_bridge.pl.RIOX,sw_pc_riox_oam,pct-admin,,,,,,
370367,ABORTED,5/25/2021 23:10,9365569,TEST TEAM INFRA ISSUE,151_MISHA_RLI21097_VPLS_support_local_switching_rio_pct,PHY_PCT_ACX_EOAM_RIO,pct-admin,,,,,,
